127.0.0.1 - - [10/Nov/2018:09:16:33 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:16:35 +0700] "GET /ThuVien/ HTTP/1.1" 500 2897
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/ HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/js/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/img/logoHufi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/img/icon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/ HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:19 +0700] "GET /ThuVien/ HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:20 +0700] "GET /ThuVien/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:26 +0700] "GET /ThuVien/ HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:26 +0700] "GET /ThuVien/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:26 +0700] "GET /ThuVien/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/img/icon.ico HTTP/1.1" 200 221116
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/img/logoHufi.png HTTP/1.1" 200 41323
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/img/banner.jpg HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:27 +0700] "GET /ThuVien/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:18:28 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Nov/2018:09:19:07 +0700] "GET /ThuVien/list HTTP/1.1" 200 15202
