127.0.0.1 - - [16/Nov/2018:17:45:47 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:48 +0700] "GET /ThuVien/indextv.html HTTP/1.1" 200 36372
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/iphone7-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/sonyxzs-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/samsungs8plus-index.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/lumia950xl-index.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/lgg6-index.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/sony.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/iphone7plus-content.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/samsung.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/oppof3.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/macbook.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [16/Nov/2018:17:45:49 +0700] "GET /ThuVien/img/iphone6.png HTTP/1.1" 404 1040
